Orden,Linea Colectivo,Ramal,Nº Camara,Ciudad,Latitud,Longitud,Direccion
54,221,Santa Clara,80,Mar del Plata,-57.5431804,-38.0035742,"Buenos Aires 1900, Mar del Plata, Provincia de Buenos Aires, Argentina"
55,221,Santa Clara,705,Mar del Plata,-57.5415961,-38.0009489,"Avenida Pedro Luro & Buenos Aires, Mar del Plata, Provincia de Buenos Aires, Argentina"
56,221,Santa Clara,438,Mar del Plata,-57.5424627,-37.9991601,"Diagonal Alberdi Sur & Corrientes, Mar del Plata, Provincia de Buenos Aires, Argentina"
57,221,Santa Clara,437,Mar del Plata,-57.5475205,-37.9967517,"25 de Mayo 2800, Mar del Plata, Provincia de Buenos Aires, Argentina"
58,221,Santa Clara,519,Mar del Plata,-57.5478602,-37.9954485,"Nueve de Julio y Hipólito Yrigoyen, Mar del Plata, Provincia de Buenos Aires, Argentina"
59,221,Santa Clara,443,Mar del Plata,-57.5452828,-37.9922084,"Avenida Libertad & Avenida Patricio Peralta Ramos, Mar del Plata, Provincia de Buenos Aires, Argentina"
60,221,Santa Clara,804,Mar del Plata,-57.5452102,-37.9899409,"Avenida Patricio Peralta Ramos & Chacabuco, Mar del Plata, Provincia de Buenos Aires, Argentina"
61,221,Santa Clara,41,Mar del Plata,-57.5450508,-37.9866704,"Avenida Independencia & Necochea, Mar del Plata, Provincia de Buenos Aires, Argentina"
62,221,Santa Clara,262,Mar del Plata,-57.5443845,-37.9813924,"Avenida Félix U. Camet & Río Negro, Mar del Plata, Provincia de Buenos Aires, Argentina"
63,221,Santa Clara,587,Mar del Plata,-57.5432396,-37.975338,"Avenida Félix U. Camet & Florisbelo Acosta, Mar del Plata, Provincia de Buenos Aires, Argentina"
64,221,Santa Clara,29,Mar del Plata,-57.543546,-37.9701501,"Constitucion y la Costa, Mar del Plata, Provincia de Buenos Aires, Argentina"
65,221,Santa Clara,251,Mar del Plata,-57.5406799,-37.9630928,"Avenida Félix U. Camet & Pascuala Mugaburu, Mar del Plata, Provincia de Buenos Aires, Argentina"
66,221,Santa Clara,498,Mar del Plata,-57.5372696,-37.95364,"Avenida Félix U. Camet & Lucio Mansilla, Mar del Plata, Provincia de Buenos Aires, Argentina"
67,221,Santa Clara,499,Mar del Plata,-57.5352097,-37.9469528,"Avenida Félix U. Camet & Avenida Fray Luis Beltrán, Mar del Plata, Provincia de Buenos Aires, Argentina"
68,221,Santa Clara,589,Mar del Plata,-57.5315803,-37.9323532,"Ruta Provincial 11 & Calle Scaglia, Mar del Plata, Provincia de Buenos Aires, Argentina"
69,523,,273,Mar del Plata,-57.5496172,-38.0772836,"Avenida Mario Bravo & Vélez Sársfield, Mar del Plata, Provincia de Buenos Aires, Argentina"
70,523,,39,Mar del Plata,-57.5467061,-38.0634685,"Avenida de los Trabajadores & Avenida Fortunato de la Plaza, Mar del Plata, Provincia de Buenos Aires, Argentina"
71,523,,276,Mar del Plata,-57.5518873,-38.0596213,"Avenida Fortunato de la Plaza & Vernet, Mar del Plata, Provincia de Buenos Aires, Argentina"
72,523,,282,Mar del Plata,-57.5570053,-38.0557516,"Avenida Fortunato de la Plaza & Beltrami, Mar del Plata, Provincia de Buenos Aires, Argentina"
73,523,,279,Mar del Plata,-57.5613839,-38.0524728,"Avenida Edison & Avenida Fortunato de la Plaza, Mar del Plata, Provincia de Buenos Aires, Argentina"
74,523,,288,Mar del Plata,-57.5658079,-38.0491337,"Elisa Alvear de Bosch & Avenida Fortunato de la Plaza, Mar del Plata, Provincia de Buenos Aires, Argentina"
75,523,,290,Mar del Plata,-57.5683127,-38.0472493,"Avenida Fortunato de la Plaza & Juramento, Mar del Plata, Provincia de Buenos Aires, Argentina"
76,523,,232,Mar del Plata,-57.5683519,-38.0432101,"Marcelo T. de Alvear & Soler, Mar del Plata, Provincia de Buenos Aires, Argentina"
77,523,,355,Mar del Plata,-57.5593685,-38.0357709,"Ayolas & Marcelo T. de Alvear, Mar del Plata, Provincia de Buenos Aires, Argentina"
78,523,,367,Mar del Plata,-57.5545189,-38.0314965,"Avenida Juan B. Justo & Martín Miguel de Güemes, Mar del Plata, Provincia de Buenos Aires, Argentina"
79,523,,352,Mar del Plata,-57.5701584,-38.0278514,"Diagonal José Garibaldi & Mateotti, Mar del Plata, Provincia de Buenos Aires, Argentina"
80,523,,376,Mar del Plata,-57.5570445,-38.0224444,"Avenida Juan José Paso & Tucumán, Mar del Plata, Provincia de Buenos Aires, Argentina"
81,523,,558,Mar del Plata,-57.5518769,-38.0160455,"Rodríguez Peña & Tucumán, Mar del Plata, Provincia de Buenos Aires, Argentina"
82,523,,457,Mar del Plata,-57.5450599,-38.0128302,"Garay & Las Heras, Mar del Plata, Provincia de Buenos Aires, Argentina"
